PERSON_ID,NAME,DURATION,SITE,TIME
0000000000,Amy Berger,41.63320677277032,0000000199,2020-08-09 08:14:12
0000000001,Michael Curry,9.792909227499319,0000000122,2020-08-09 08:23:51
0000000004,Gregory Fischer,6.970899759408985,0000000179,2020-08-09 08:37:11
0000000007,James Rodriguez,53.442056176593795,0000000164,2020-08-09 08:33:12
0000000014,James Dean,128.52980942297495,0000000082,2020-08-09 08:08:02
0000000022,Lori Smith,71.5213033306464,0000000002,2020-08-09 08:13:36
0000000030,Ashley Booth,62.25479454228824,0000000036,2020-08-09 08:35:08
0000000046,Heather Saunders,20.121799139506912,0000000089,2020-08-09 08:24:30
0000000056,Heather Stone,156.60612951191607,0000000108,2020-08-09 08:01:51
0000000057,Anna Davis,44.52458035767671,0000000210,2020-08-09 08:41:41
0000000066,Austin Shelton,10.618330670189929,0000000149,2020-08-09 08:53:38
0000000074,Destiny Young,106.1187334349747,0000000225,2020-08-09 08:56:31
0000000075,William Johnson,107.26394370474902,0000000021,2020-08-09 08:35:34
0000000077,Kimberly Barnes,76.18686901212433,0000000144,2020-08-09 08:17:19
0000000078,Richard Smith,3.3269979503132094,0000000062,2020-08-09 08:39:00
0000000082,Gregory Blair,181.4332175765323,0000000136,2020-08-09 08:43:43
0000000084,Melissa Mccormick,279.55712847852845,0000000205,2020-08-09 08:32:25
0000000086,Janet Mcdonald,0.8649468839851916,0000000038,2020-08-09 08:09:10
0000000090,Nancy Morgan,77.81770222075232,0000000141,2020-08-09 08:48:28
0000000106,Jeremy Brown,2.0092099451416154,0000000144,2020-08-09 08:40:33
0000000111,Tyrone Mcconnell,19.56874691821608,0000000075,2020-08-09 08:44:30
0000000117,Renee Jackson,49.014948339130115,0000000269,2020-08-09 08:39:13
0000000121,Rachel Rodriguez,40.128571226878094,0000000261,2020-08-09 08:17:02
0000000124,Donald Brown II,103.84694053399754,0000000194,2020-08-09 08:47:22
0000000128,Dwayne Padilla,14.80588428908269,0000000295,2020-08-09 08:47:19
0000000129,Tammy Maldonado,54.53323964980876,0000000272,2020-08-09 08:05:39
0000000133,Sabrina Bennett,25.04427467568979,0000000008,2020-08-09 08:25:48
0000000134,Danny Silva,105.30762993730134,0000000125,2020-08-09 08:05:29
0000000135,Zachary Casey,8.553695271502734,0000000097,2020-08-09 08:20:42
0000000136,Joseph Rasmussen,6.89472518040319,0000000052,2020-08-09 08:48:23
0000000138,Stephanie Daugherty,34.159174173968474,0000000119,2020-08-09 08:36:26
0000000142,Cynthia Middleton,42.46427246700179,0000000220,2020-08-09 08:43:04
0000000144,Justin Mills,54.59537108718981,0000000267,2020-08-09 08:28:22
0000000145,Craig Nguyen,83.60196629902929,0000000151,2020-08-09 08:18:46
0000000146,Charles Jones,67.06641647790997,0000000033,2020-08-09 08:14:26
0000000147,Amanda Smith,16.737880513092666,0000000271,2020-08-09 08:00:34
0000000153,Regina Lee,36.619340607578,0000000140,2020-08-09 08:38:01
0000000156,Richard Bray,122.12493308238523,0000000254,2020-08-09 08:03:41
0000000158,Jeffrey Johnson,11.115684571288417,0000000124,2020-08-09 08:57:20
0000000162,Lauren Evans,0.24669221573336672,0000000164,2020-08-09 08:15:24
0000000169,Bianca Brown,58.873185677385344,0000000211,2020-08-09 08:00:37
0000000170,Michelle Meadows,74.69658805541906,0000000200,2020-08-09 08:03:45
0000000171,Michelle Ramirez,85.95972105265099,0000000114,2020-08-09 08:25:39
0000000177,Carol Berry,34.67103414865956,0000000038,2020-08-09 08:18:52
0000000179,Crystal Roberts,226.50501919701108,0000000042,2020-08-09 08:52:19
0000000180,Edgar Bradford,44.445535017157574,0000000131,2020-08-09 08:18:37
0000000187,George Valdez,0.9155817516372498,0000000059,2020-08-09 08:22:04
0000000193,Jessica Howell,78.39560837316296,0000000071,2020-08-09 08:42:10
0000000194,Cynthia Mitchell,59.987628258497786,0000000114,2020-08-09 08:29:19
0000000195,Jennifer Dawson,17.7280638695479,0000000219,2020-08-09 08:25:20
0000000201,Erica Alvarez,13.241096150062765,0000000089,2020-08-09 08:52:08
0000000204,Bobby Kirby,32.13432838685451,0000000270,2020-08-09 08:48:04
